facet,temperature_K,pressure_Pa,k_m3_s,impact_probability,density_m3,hazard_s
110,520.4024999999999,133.32236842105263,1.2343674990496599e-22,1.1664588109972541e-05,1.8555829066968282e+22,2.290471231818662
110,526.25125,133.32236842105263,1.3843635053115005e-22,1.3003313640604621e-05,1.8349599808120091e+22,2.540251631143237
110,532.0999999999999,133.32236842105263,1.5491502263087087e-22,1.446456464651722e-05,1.8147904221054239e+22,2.8113829931074945
110,537.94875,133.32236842105263,1.729834686028046e-22,1.6056567359016634e-05,1.7950594431203639e+22,3.1051560881917935
110,543.7975,133.32236842105263,1.9275782975532718e-22,1.7787877429414286e-05,1.7757528925791234e+22,3.4229027375529646
110,549.64625,133.32236842105263,2.143597840322726e-22,1.9667381277727784e-05,1.7568572215352984e+22,3.7659953458384505
110,555.4949999999999,133.32236842105263,2.379166388856087e-22,2.1704297036631736e-05,1.7383594516643643e+22,4.135846379150153
110,561.34375,133.32236842105263,2.635614192371135e-22,2.3908175099583096e-05,1.7202471455365735e+22,4.533907791162127
110,567.1925,133.32236842105263,2.9143295048717496e-22,2.6288898282878744e-05,1.7025083787290836e+22,4.961670400421536
110,573.04125,133.32236842105263,3.216759365440986e-22,2.885668161214099e-05,1.6851317136459127e+22,5.420663221872107
110,578.89,133.32236842105263,3.5444103286165143e-22,3.1622071744363336e-05,1.6681061749249356e+22,5.912452755632928
110,584.73875,133.32236842105263,3.898849144861022e-22,3.459594603719813e-05,1.6514212263208071e+22,6.438642236046219
110,590.5875,133.32236842105263,4.281703391266728e-22,3.778951127762976e-05,1.6350667489614932e+22,7.000870843975889
110,596.43625,133.32236842105263,4.694662052751147e-22,4.12143020825562e-05,1.6190330208841196e+22,7.600812885295731
110,602.285,133.32236842105263,5.139476054110924e-22,4.488217898410689e-05,1.6033106977631783e+22,8.240176938453732
110,608.13375,133.32236842105263,5.617958743402016e-22,4.8805326212757576e-05,1.587890794750819e+22,8.92070497393794
110,613.9825,133.32236842105263,6.131986327207731e-22,5.2996249191468355e-05,1.5727646693550648e+22,9.644171448400645
110,619.83125,133.32236842105263,6.683498258441787e-22,5.746777175417766e-05,1.5579240052874002e+22,10.412382376122993
110,625.68,133.32236842105263,7.274497577411516e-22,6.223303310203268e-05,1.5433607972163022e+22,11.227174380421896
110,631.52875,133.32236842105263,7.907051206936895e-22,6.730548451073361e-05,1.5290673363679736e+22,12.090413727516168
110,637.3775,133.32236842105263,8.58329020238488e-22,7.269888580231816e-05,1.5150361969198721e+22,13.003995345280789
110,643.2262499999999,133.32236842105263,9.305409957535107e-22,7.842730159461763e-05,1.5012602231365652e+22,13.969841829226372
110,649.075,133.32236842105263,1.0075670367244268e-21,8.450509734148783e-05,1.4877325172010874e+22,14.989902437948718
110,654.9237499999999,133.32236842105263,1.089639594791942e-21,9.094693517673924e-05,1.4744464276983327e+22,16.066152080196378
110,660.7725,133.32236842105263,1.176997591685101e-21,9.776776957450624e-05,1.461395538710064e+22,17.20059029561096
110,666.6212499999999,133.32236842105263,1.2698864231487417e-21,0.00010498284283855283,1.4485736594839964e+22,18.395240231096153
110,672.47,133.32236842105263,1.3685579589762557e-21,0.00011260768043277359,1.4359748146419854e+22,19.65214761467743
110,678.3187499999999,133.32236842105263,1.473270539260931e-21,0.00012065808616486235,1.4235932348947982e+22,20.973379728616727
110,684.1675,133.32236842105263,1.5842889669812203e-21,0.0001291501372348464,1.4114233482331386e+22,22.361024383454545
110,690.0162499999999,133.32236842105263,1.7018844970364015e-21,0.00013810017915985402,1.3994597715666784e+22,23.817188894554338
110,695.865,133.32236842105263,1.8263348218504684e-21,0.00014752482058619018,1.3876973027847295e+22,25.343999062637245
110,701.7137499999999,133.32236842105263,1.957924053662348e-21,0.0001574409279994337,1.3761309132139652e+22,26.943598159699555
110,707.5625,133.32236842105263,2.0969427036212526e-21,0.0001678656203429621,1.3647557404502018e+22,28.61814592162271
110,713.41125,133.32236842105263,2.2436876578055245e-21,0.00017881626355492784,1.353567081542793e+22,30.369817548694087
110,719.26,133.32236842105263,2.398462150283454e-21,0.00019031046503339605,1.3425603865115479e+22,32.200802715178725
110,725.10875,133.32236842105263,2.56157573333361e-21,0.00020236606803896614,1.331731252177409e+22,34.11330458899633
110,730.9575,133.32236842105263,2.733344244941612e-21,0.0002150011460438659,1.3210754162893135e+22,36.109538862482395
110,736.80625,133.32236842105263,2.9140897736891662e-21,0.00022823399703614315,1.3105887519307769e+22,38.191732795135245
110,742.655,133.32236842105263,3.1041406211498752e-21,0.00024208313778721993,1.300267262190783e+22,40.36212426917745
110,748.50375,133.32236842105263,3.303831261904986e-21,0.0002565672980907332,1.2901070750845216e+22,42.622960858690455
110,754.3525,133.32236842105263,3.513502301290563e-21,0.00027170541498022544,1.2801044387104119e+22,44.97649891301297
110,760.20125,133.32236842105263,3.733500430985865e-21,0.00028751662693291056,1.2702557166306895e+22,47.42500265502938
110,766.05,133.32236842105263,3.964178382550748e-21,0.00030402026806639423,1.2605573834636068e+22,49.970743294911635
110,771.89875,133.32236842105263,4.2058948790180366e-21,0.00032123586233490065,1.2510060206760225e+22,52.61599815982015
110,777.7475,133.32236842105263,4.459014584644555e-21,0.00033918311773122067,1.241598312565834e+22,55.36304984001122
110,783.5962499999999,133.32236842105263,4.7239080529224805e-21,0.000357881920500284,1.2323310424243302e+22,58.21418535174649
110,789.4449999999999,133.32236842105263,5.000951672950213e-21,0.0003773523293699324,1.2232010888691371e+22,61.171695317346334
110,795.29375,133.32236842105263,5.2905276142598516e-21,0.0003976145698041766,1.2142054223389733e+22,64.23787316268384
110,801.1424999999999,133.32236842105263,5.593023770195784e-21,0.0004186890282839106,1.2053411017419448e+22,67.41501433236672
110,806.99125,133.32236842105263,5.908833699936659e-21,0.0004405962466197762,1.1966052712495901e+22,70.70541552281425
110,812.8399999999999,133.32236842105263,6.238356569250298e-21,0.00046335691630157303,1.187995157229339e+22,74.11137393339187
110,818.6887499999999,133.32236842105263,6.581997090069033e-21,0.0004869918728883629,1.1795080653084532e+22,77.63518653573193
110,824.5375,133.32236842105263,6.94016545896993e-21,0.0005115220904431167,1.1711413775629317e+22,81.27914936132719
110,830.38625,133.32236842105263,7.31327729464232e-21,0.0005369686760155273,1.162892549825212e+22,85.04555680745435
110,836.235,133.32236842105263,7.701753574422357e-21,0.0005633528641763528,1.154759109104852e+22,88.93670096145071
110,842.08375,133.32236842105263,8.106020569971798e-21,0.0005906960116064101,1.146738651116704e+22,92.95487094333716
110,847.9325,133.32236842105263,8.5265097821757e-21,0.000619019591743115,1.1388288379113857e+22,97.10235226675215
110,853.78125,133.32236842105263,8.963657875331511e-21,0.0006483451894872544,1.131027395603143e+22,101.381426218138
110,859.63,133.32236842105263,9.417906610699078e-21,0.0006786944959724353,1.1233321121904725e+22,105.7943692540921
110,865.47875,133.32236842105263,9.889702779479338e-21,0.0007100893033994918,1.1157408354651062e+22,110.34345241677859
110,871.3275,133.32236842105263,1.0379498135286303e-20,0.0007425514999378906,1.1082514710052144e+22,115.03094076726924
110,877.17625,133.32236842105263,1.088774932617538e-20,0.0007761030646960338,1.1008619802488906e+22,119.85909283666952
110,883.025,133.32236842105263,1.1414917826287963e-20,0.0008107660627621374,1.0935703786442012e+22,124.83016009486171
110,888.87375,133.32236842105263,1.1961469867170612e-20,0.0008465626403172253,1.086374733872269e+22,129.9463864366864
110,894.7225,133.32236842105263,1.2527876368824404e-20,0.0008835150198215956,1.0792731641400502e+22,135.21000768536476
110,900.57125,133.32236842105263,1.3114612870538084e-20,0.0009216454952759649,1.0722638365396363e+22,140.62325111295257
110,906.42,133.32236842105263,1.3722159461556405e-20,0.0009609764275583553,1.0653449654710796e+22,146.18833497760454
110,912.26875,133.32236842105263,1.4351000711632953e-20,0.0010015302398376366,1.0585148111258835e+22,151.90746807741576
110,918.1175,133.32236842105263,1.500162560151456e-20,0.0010433294130645068,1.0517716780284614e+22,157.78284932059694
110,923.96625,133.32236842105263,1.56745274534026e-20,0.001086396481540569,1.0451139136329882e+22,163.81666731173308
110,929.8149999999999,133.32236842105263,1.6370203861434368e-20,0.001130754028566041,1.0385399069732107e+22,170.01109995386543
110,935.6637499999999,133.32236842105263,1.7089156622225596e-20,0.0011764246821665066,1.0320480873628972e+22,176.36831406612916
110,941.5124999999999,133.32236842105263,1.7831891665513835e-20,0.0012234311108990385,1.025636923144723e+22,182.8904650166764
110,947.3612499999999,133.32236842105263,1.8598918984939974e-20,0.0012717960197378853,1.019304920485502e+22,189.57969637060535
110,953.2099999999999,133.32236842105263,1.9390752569003856e-20,0.0013215421460398417,1.013050622215772e+22,196.43813955261436
110,959.0587499999999,133.32236842105263,2.0207910332227938e-20,0.0013726922555893242,1.0068726067118368e+22,203.46791352409406
110,964.9074999999999,133.32236842105263,2.105091404656152e-20,0.0014252691387230886,1.0007694868184731e+22,210.67112447437162
110,970.7562499999999,133.32236842105263,2.1920289273055993e-20,0.0014792956065344314,9.947399088105752e+21,218.0498655258115
