species,temperature_K,partial_pressure_Pa,Cp_J_mol_K,H_minus_H298_kJ_mol,S_standard_J_mol_K,pressure_correction_eV,mu_minus_H298_eV,mu_element_enthalpy_reference_eV,source,qualified_for_surface_rate
SiF4,600.0,100000.0,94.10545241777777,25.86393832933345,341.85836172790624,0.0,-1.8578065158994752,-18.59548015458351,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
NH3,300.0,1.0,35.69695276933333,0.064709005200001,192.99066656996953,-0.29763214666165855,-0.8970236779244611,-1.3727235484637619,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,300.0,133.32236842105263,35.69695276933333,0.064709005200001,192.99066656996953,-0.17114425719565693,-0.7705357884584594,-1.2462356589977601,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,300.0,100000.0,35.69695276933333,0.064709005200001,192.99066656996953,0.0,-0.5993915312628025,-1.0750914018021032,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,400.0,1.0,38.749239852,3.7826765552000055,203.66550252034853,-0.39684286221554477,-1.2019758574946453,-1.677675728033946,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,400.0,133.32236842105263,38.749239852,3.7826765552000055,203.66550252034853,-0.22819234292754254,-1.033325338206643,-1.5090252087459435,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,400.0,100000.0,38.749239852,3.7826765552000055,203.66550252034853,0.0,-0.8051329952791004,-1.280832865818401,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,450.0,1.0,40.388286551592586,5.76101909840834,208.32391124848075,-0.4464482199924878,-1.358345800973625,-1.8340456715129256,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,450.0,133.32236842105263,40.388286551592586,5.76101909840834,208.32391124848075,-0.2567163857934853,-1.1686139667746225,-1.644313837313923,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,450.0,100000.0,40.388286551592586,5.76101909840834,208.32391124848075,0.0,-0.911897580981137,-1.3875974515204377,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,500.0,1.0,42.0340695,7.821607749999998,212.6644823586468,-0.49605357776943093,-1.5170443466401335,-1.992744217179434,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,500.0,133.32236842105263,42.0340695,7.821607749999998,212.6644823586468,-0.28524042865942817,-1.306231197530131,-1.7819310680694316,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,500.0,100000.0,42.0340695,7.821607749999998,212.6644823586468,0.0,-1.0209907688707027,-1.4966906394100035,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,600.0,1.0,45.26344322133333,12.1874667632,220.61543806198938,-0.5952642933233171,-1.8408608356080973,-2.316560706147398,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,600.0,133.32236842105263,45.26344322133333,12.1874667632,220.61543806198938,-0.34228851439131386,-1.5878850566760943,-2.063584927215395,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
NH3,600.0,100000.0,45.26344322133333,12.1874667632,220.61543806198938,0.0,-1.2455965422847803,-1.7212964128240809,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Plot=on&Type=JANAFG,False
H2,300.0,1.0,28.84948318644444,0.05350957581666371,130.8585684767772,-0.29763214666165855,-0.703953606146433,-0.703953606146433,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,300.0,133.32236842105263,28.84948318644444,0.05350957581666371,130.8585684767772,-0.17114425719565693,-0.5774657166804312,-0.5774657166804312,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,300.0,100000.0,28.84948318644444,0.05350957581666371,130.8585684767772,0.0,-0.4063214594847743,-0.4063214594847743,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,400.0,1.0,29.181610324000005,2.959149521066667,139.2153391447656,-0.39684286221554477,-0.9433195646997475,-0.9433195646997475,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,400.0,133.32236842105263,29.181610324000005,2.959149521066667,139.2153391447656,-0.22819234292754254,-0.7746690454117452,-0.7746690454117452,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,400.0,100000.0,29.181610324000005,2.959149521066667,139.2153391447656,0.0,-0.5464767024842027,-0.5464767024842027,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,450.0,1.0,29.232104977614195,4.419633734745487,142.65568653931115,-0.4464482199924878,-1.0659768456653564,-1.0659768456653564,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,450.0,133.32236842105263,29.232104977614195,4.419633734745487,142.65568653931115,-0.2567163857934853,-0.8762450114663539,-0.8762450114663539,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,450.0,100000.0,29.232104977614195,4.419633734745487,142.65568653931115,0.0,-0.6195286256728686,-0.6195286256728686,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,500.0,1.0,29.26183225,5.882022052083334,145.73721903074005,-0.49605357776943093,-1.1903206335917254,-1.1903206335917254,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,500.0,133.32236842105263,29.26183225,5.882022052083334,145.73721903074005,-0.28524042865942817,-0.9795074844817228,-0.9795074844817228,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,500.0,100000.0,29.26183225,5.882022052083334,145.73721903074005,0.0,-0.6942670558222944,-0.6942670558222944,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,600.0,1.0,29.324561887111113,8.811079707733333,151.07735219403716,-0.5952642933233171,-1.443427737525405,-1.443427737525405,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,600.0,133.32236842105263,29.324561887111113,8.811079707733333,151.07735219403716,-0.34228851439131386,-1.1904519585934017,-1.1904519585934017,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
H2,600.0,100000.0,29.324561887111113,8.811079707733333,151.07735219403716,0.0,-0.8481634442020878,-0.8481634442020878,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Table=on&Type=JANAFG,False
HCl,300.0,1.0,29.137704416888887,0.053484542933333046,187.08121248321353,-0.29763214666165855,-0.8787658585752075,-1.835512422726778,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,300.0,133.32236842105263,29.137704416888887,0.053484542933333046,187.08121248321353,-0.17114425719565693,-0.7522779691092057,-1.7090245332607763,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,300.0,100000.0,29.137704416888887,0.053484542933333046,187.08121248321353,0.0,-0.5811337119135489,-1.5378802760651193,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,400.0,1.0,29.170561295999995,2.9685105695999994,195.46701913119986,-0.39684286221554477,-1.1764255762673508,-2.133172140418921,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,400.0,133.32236842105263,29.170561295999995,2.9685105695999994,195.46701913119986,-0.22819234292754254,-1.0077750569793487,-1.9645216211309193,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,400.0,100000.0,29.170561295999995,2.9685105695999994,195.46701913119986,0.0,-0.7795827140518062,-1.7363292782033766,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,450.0,1.0,29.221314054839503,4.42817140144723,198.90542640489625,-0.4464482199924878,-1.3282327214131102,-2.2849792855646807,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,450.0,133.32236842105263,29.221314054839503,4.42817140144723,198.90542640489625,-0.2567163857934853,-1.1385008872141076,-2.0952474513656782,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
