backend,sites,seed,net_removed_nm
cpp,2048,125,0.4373515625
cpp,2048,126,0.43602343750000006
cpp,2048,127,0.43628906250000005
cpp,8192,0,0.43693652343750006
cpp,8192,1,0.433466796875
cpp,8192,2,0.43496093750000003
cpp,8192,3,0.4338818359375
cpp,8192,4,0.43589062500000003
cpp,8192,5,0.4357578125
cpp,8192,6,0.43587402343750004
cpp,8192,7,0.43496093750000003
cpp,8192,8,0.43688671875
cpp,8192,9,0.435525390625
cpp,8192,10,0.4343466796875
cpp,8192,11,0.43650488281250005
cpp,8192,12,0.43862988281250004
cpp,8192,13,0.4369033203125
cpp,8192,14,0.4355419921875
cpp,8192,15,0.43765039062500005
cpp,8192,16,0.43647167968750006
cpp,8192,17,0.43519335937500003
cpp,8192,18,0.4359736328125
cpp,8192,19,0.43695312500000005
cpp,8192,20,0.4379990234375
cpp,8192,21,0.43335058593750003
cpp,8192,22,0.43607324218750004
cpp,8192,23,0.4343798828125
cpp,8192,24,0.43627246093750005
cpp,8192,25,0.43471191406250004
cpp,8192,26,0.43235449218750005
cpp,8192,27,0.43677050781250004
cpp,8192,28,0.43451269531250003
cpp,8192,29,0.43720214843750005
cpp,8192,30,0.4352431640625
cpp,8192,31,0.43657128906250003
cpp,8192,32,0.43446289062500004
cpp,8192,33,0.43750097656250003
cpp,8192,34,0.4370859375
cpp,8192,35,0.43698632812500005
cpp,8192,36,0.43839746093750004
cpp,8192,37,0.43652148437500005
cpp,8192,38,0.43877929687500006
cpp,8192,39,0.4346123046875
cpp,8192,40,0.43740136718750006
cpp,8192,41,0.43605664062500005
cpp,8192,42,0.43781640625
cpp,8192,43,0.4373349609375
cpp,8192,44,0.43696972656250005
cpp,8192,45,0.4355087890625
cpp,8192,46,0.43359960937500003
cpp,8192,47,0.43467871093750005
cpp,8192,48,0.43650488281250005
cpp,8192,49,0.43672070312500005
cpp,8192,50,0.43630566406250004
cpp,8192,51,0.4375673828125
cpp,8192,52,0.4379990234375
cpp,8192,53,0.43285253906250004
cpp,8192,54,0.43881250000000005
cpp,8192,55,0.4336162109375
cpp,8192,56,0.4373017578125
cpp,8192,57,0.43421386718750005
cpp,8192,58,0.4359404296875
cpp,8192,59,0.4354921875
cpp,8192,60,0.43612304687500003
cpp,8192,61,0.435990234375
cpp,8192,62,0.43610644531250004
cpp,8192,63,0.4364384765625
cpp,8192,64,0.434994140625
cpp,8192,65,0.4377666015625
cpp,8192,66,0.43607324218750004
cpp,8192,67,0.4376171875
cpp,8192,68,0.43540917968750004
cpp,8192,69,0.436189453125
cpp,8192,70,0.43625585937500005
cpp,8192,71,0.4350439453125
cpp,8192,72,0.43994140625000006
cpp,8192,73,0.43595703125
cpp,8192,74,0.43467871093750005
cpp,8192,75,0.43356640625000004
cpp,8192,76,0.43486132812500006
cpp,8192,77,0.43471191406250004
cpp,8192,78,0.435724609375
cpp,8192,79,0.43404785156250003
cpp,8192,80,0.43544238281250003
cpp,8192,81,0.43516015625000004
cpp,8192,82,0.432736328125
cpp,8192,83,0.43373242187500005
cpp,8192,84,0.43648828125000005
cpp,8192,85,0.43539257812500004
cpp,8192,86,0.43539257812500004
cpp,8192,87,0.4363720703125
cpp,8192,88,0.43511035156250005
cpp,8192,89,0.43701953125000004
cpp,8192,90,0.43496093750000003
cpp,8192,91,0.43486132812500006
cpp,8192,92,0.434595703125
cpp,8192,93,0.43379882812500004
cpp,8192,94,0.43723535156250004
cpp,8192,95,0.43331738281250004
cpp,8192,96,0.4373681640625
cpp,8192,97,0.43703613281250003
cpp,8192,98,0.43258691406250005
cpp,8192,99,0.43378222656250004
cpp,8192,100,0.43442968750000005
cpp,8192,101,0.43560839843750004
cpp,8192,102,0.43718554687500005
cpp,8192,103,0.43416406250000006
cpp,8192,104,0.43635546875000003
cpp,8192,105,0.43635546875000003
cpp,8192,106,0.43381542968750003
cpp,8192,107,0.4352763671875
cpp,8192,108,0.43516015625000004
cpp,8192,109,0.436388671875
cpp,8192,110,0.43604003906250005
cpp,8192,111,0.43383203125
cpp,8192,112,0.438912109375
cpp,8192,113,0.4366044921875
cpp,8192,114,0.43693652343750006
cpp,8192,115,0.43662109375
cpp,8192,116,0.432935546875
cpp,8192,117,0.43122558593750004
cpp,8192,118,0.43607324218750004
cpp,8192,119,0.43585742187500004
cpp,8192,120,0.4341142578125
cpp,8192,121,0.4362060546875
cpp,8192,122,0.4357412109375
cpp,8192,123,0.4376005859375
cpp,8192,124,0.43404785156250003
cpp,8192,125,0.43532617187500006
cpp,8192,126,0.43582421875000005
cpp,8192,127,0.434595703125
python,128,0,0.448375
python,128,1,0.44625000000000004
python,128,2,0.43881250000000005
python,128,3,0.4430625
python,128,4,0.4345625
python,128,5,0.46218750000000003
python,128,6,0.44943750000000005
python,128,7,0.4345625
python,128,8,0.4260625
python,128,9,0.439875
python,128,10,0.45475000000000004
python,128,11,0.43562500000000004
python,128,12,0.4345625
python,128,13,0.431375
python,128,14,0.4133125
python,128,15,0.45156250000000003
python,128,16,0.43350000000000005
python,128,17,0.44200000000000006
python,128,18,0.42712500000000003
python,128,19,0.42712500000000003
python,128,20,0.43031250000000004
python,128,21,0.43243750000000003
python,128,22,0.448375
python,128,23,0.4239375
python,128,24,0.42818750000000005
python,128,25,0.4430625
python,128,26,0.44093750000000004
python,128,27,0.42075
python,128,28,0.4154375
python,128,29,0.43350000000000005
python,128,30,0.41968750000000005
python,128,31,0.41437500000000005
python,512,0,0.44731250000000006
python,512,1,0.42978125
python,512,2,0.43535937500000005
python,512,3,0.44465625000000003
python,512,4,0.44093750000000004
python,512,5,0.44412500000000005
python,512,6,0.44253125000000004
python,512,7,0.43721875000000004
python,512,8,0.429515625
python,512,9,0.427921875
python,512,10,0.43695312500000005
python,512,11,0.44757812500000005
python,512,12,0.42553125
python,512,13,0.43190625000000005
python,512,14,0.44040625000000005
python,512,15,0.438015625
python,512,16,0.43057812500000003
python,512,17,0.4430625
python,512,18,0.43562500000000004
python,512,19,0.431375
python,512,20,0.43243750000000003
python,512,21,0.43535937500000005
python,512,22,0.42765625
python,512,23,0.4366875
python,512,24,0.43217187500000004
python,512,25,0.44757812500000005
python,512,26,0.440140625
python,512,27,0.44439062500000004
python,512,28,0.43403125000000004
python,512,29,0.44146875
python,512,30,0.42845312500000005
python,512,31,0.42500000000000004
