temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.15000000000000002,NH3,gas_product,86.21875,0.08621875
325.0,0.15000000000000002,SiF4,gas_product,0.0,0.0
325.0,0.15000000000000002,SiH2F2,gas_product,0.140625,0.000140625
325.0,0.15000000000000002,SiHF3,gas_product,0.0,0.0
325.0,0.2,bridge_NH_F0,surface,108.5390625,0.1085390625
325.0,0.2,bridge_NH_F1,surface,182.65625,0.18265625
325.0,0.2,bridge_NH_F2,surface,0.4453125,0.0004453125
325.0,0.2,bridge_NH_F3,surface,0.0,0.0
325.0,0.2,bridge_NH_residual,surface,0.0,0.0
325.0,0.2,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.2,bridge_NH_F1_HF,surface,8.3515625,0.0083515625
325.0,0.2,bridge_NH_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.2,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.2,terminal_NH2_F0,surface,54.5546875,0.0545546875
325.0,0.2,terminal_NH2_F1,surface,81.796875,0.081796875
325.0,0.2,terminal_NH2_F2,surface,10.1640625,0.0101640625
325.0,0.2,terminal_NH2_F3,surface,0.0,0.0
325.0,0.2,terminal_NH2_residual,surface,0.0,0.0
325.0,0.2,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.2,terminal_NH2_F1_HF,surface,3.03125,0.00303125
325.0,0.2,terminal_NH2_F2_HF,surface,0.453125,0.000453125
325.0,0.2,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.2,Si_H_rich_F0,surface,95.203125,0.095203125
325.0,0.2,Si_H_rich_F1,surface,0.0,0.0
325.0,0.2,Si_H_rich_F2,surface,0.0,0.0
325.0,0.2,Si_H_rich_F3,surface,0.0,0.0
325.0,0.2,Si_H_rich_residual,surface,0.0,0.0
325.0,0.2,Si_H_rich_F0_HF,surface,4.796875,0.004796875
325.0,0.2,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.2,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.2,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.2,bridge_N_F0,surface,135.0859375,0.1350859375
325.0,0.2,bridge_N_F1,surface,8.265625,0.008265625
325.0,0.2,bridge_N_F2,surface,0.078125,7.8125e-05
325.0,0.2,bridge_N_F3,surface,0.0,0.0
325.0,0.2,bridge_N_residual,surface,0.0,0.0
